IID PC1 PC2 PC3 PC4 PC5 POPULATION
tsk_1538 -6.3456745 -5.430917 -3.7099001 -0.5148363 2.086957 IBS
tsk_1546 -6.525199 -6.1914206 -2.318893 -2.5232453 2.7870595 IBS
tsk_1550 -5.11581 -1.803933 1.5672002 3.730354 2.2351894 IBS
tsk_1631 -2.8214004 11.6350355 -4.8889174 -9.967914 -4.9350786 PEL
tsk_1646 -3.3887672 7.7198443 0.72011095 -4.9859505 6.491687 PEL
tsk_1660 -4.3358397 15.251727 -2.0887737 -6.509556 -0.11875082 PEL
tsk_1662 -4.075519 17.43385 -7.1246147 -10.255159 -2.2623749 PEL
tsk_1733 -3.6252024 16.63836 -6.33458 -6.4669256 -1.3794737 PEL
tsk_1797 -3.8986375 -4.8993993 -2.6085334 -1.5632709 0.97104776 IBS
tsk_1809 -4.264999 21.064869 -2.7898378 -8.511705 -2.4548512 PEL
tsk_1823 -3.142058 7.083654 -5.6805263 -2.30934 2.6315155 PEL
tsk_2073 18.413494 0.9234719 -0.67682165 -0.63046795 0.50969917 ESN
tsk_2074 15.754666 -0.0060757943 1.5840114 -0.59168553 0.3634179 ESN
tsk_2078 17.893223 0.6932886 0.5456774 -0.5122792 -3.8056927 ESN
tsk_2085 16.552303 0.86155164 0.102096744 -0.67560667 3.0721176 ESN
tsk_2115 16.41997 1.3664783 -3.806215 4.268041 2.1804905 MSL
tsk_2116 15.662717 -0.08278583 1.7922454 1.2772145 -1.3548888 MSL
tsk_2118 17.292465 1.371037 0.8439227 0.033978157 -1.3293287 MSL
tsk_2120 18.469608 -1.1142869 -1.349466 0.20676948 2.0638788 MSL
tsk_2124 17.681993 -0.77611023 -0.20381829 -1.5172818 -3.822837 MSL
tsk_2126 16.907887 0.25273058 1.1428386 -0.6897752 -2.7723203 MSL
tsk_2132 16.932045 -1.6161983 -2.927151 1.7618254 -2.6781604 MSL
tsk_2136 17.061008 0.8598976 2.2765837 0.5150017 -1.9507983 MSL
tsk_2138 15.685972 -0.38707876 0.13502534 0.5640262 1.2748173 MSL
tsk_2148 16.91047 -1.1280524 0.8393284 -1.4134604 0.45554322 ESN
tsk_2149 19.123907 -0.9852002 2.0202925 0.639625 -0.69369906 ESN
tsk_2155 16.728556 1.0518713 2.9616184 -2.2025242 -0.22141753 ESN
tsk_2158 16.15951 1.4177636 1.5828905 0.77383554 -0.7619986 ESN
tsk_2160 17.649858 -0.80991507 1.1351633 -0.7580436 -0.20334764 ESN
tsk_2169 15.370808 -1.6728828 0.05230254 -0.8709717 4.3157277 ESN
tsk_2180 16.295353 -2.1633165 1.223379 -0.0804778 2.7806926 ESN
